activation,hidden,lr,epoch,train_loss,val_loss,epoch_flops,total_flops,gflops,epoch_time
relu,64,0.01,1,0.7700141943212315,0.5816215187233553,842277822,842277822,0.842277822,0.06188639998435974
relu,64,0.01,2,0.579564367998456,0.4925921811224767,842277822,1684555644,1.684555644,0.0593896999489516
relu,64,0.01,3,0.4869770386858271,0.4490597619097354,842277822,2526833466,2.526833466,0.05807330016978085
relu,64,0.01,4,0.44141265924846806,0.42088759176978213,842277822,3369111288,3.369111288,0.08531850017607212
relu,64,0.01,5,0.412391794885651,0.3969547143944778,842277822,4211389110,4.21138911,0.10484960000030696
relu,64,0.01,6,0.38840639590908693,0.37689240193006524,842277822,5053666932,5.053666932,0.060026099905371666
relu,64,0.01,7,0.3684942003733583,0.36309304609404963,842277822,5895944754,5.895944754,0.3506839999463409
relu,64,0.01,8,0.35458573323258136,0.35662478112736423,842277822,6738222576,6.738222576,0.07942670001648366
relu,64,0.01,9,0.34761924111283043,0.35615571151864844,842277822,7580500398,7.580500398,0.08341680001467466
relu,64,0.01,10,0.3463123796837625,0.3581867790733138,842277822,8422778220,8.42277822,0.05917629995383322
relu,64,0.01,11,0.34747641110011507,0.3592368333761217,842277822,9265056042,9.265056042,0.057184699922800064
relu,64,0.01,12,0.3477727798891924,0.3575916156232007,842277822,10107333864,10.107333864,0.05810260004363954
relu,64,0.01,13,0.3456215649982901,0.3537119304622613,842277822,10949611686,10.949611686,0.05884540011174977
relu,64,0.01,14,0.34141999529081357,0.3490737199029071,842277822,11791889508,11.791889508,0.10771239991299808
relu,64,0.01,15,0.336561873749127,0.3450357708482777,842277822,12634167330,12.63416733,0.14556089998222888
relu,64,0.01,16,0.3323511902318696,0.34225263969255293,842277822,13476445152,13.476445152,0.06640270003117621
relu,64,0.01,17,0.3293545822308403,0.3405795842824092,842277822,14318722974,14.318722974,0.059808799996972084
relu,64,0.01,18,0.32744162226790424,0.3393999360478463,842277822,15161000796,15.161000796,0.05818969989195466
relu,64,0.01,19,0.32603069699892173,0.33809970372798703,842277822,16003278618,16.003278618,0.05943890009075403
relu,64,0.01,20,0.3245224845445062,0.3363575047505838,842277822,16845556440,16.84555644,0.058058900060132146
relu,64,0.01,21,0.32262468303117725,0.33427685433957993,842277822,17687834262,17.687834262,0.11144530004821718
relu,64,0.01,22,0.3204471270800774,0.3321456922685635,842277822,18530112084,18.530112084,0.3057921000290662
relu,64,0.01,23,0.31831017969259723,0.33031994911811396,842277822,19372389906,19.372389906,0.07249450008384883
relu,64,0.01,24,0.3165484636182101,0.3290633653708864,842277822,20214667728,20.214667728,0.0630872999317944
relu,64,0.01,25,0.3153713130409947,0.3284213822375262,842277822,21056945550,21.05694555,0.05765690002590418
relu,64,0.01,26,0.3147747340320206,0.3281824536165992,842277822,21899223372,21.899223372,0.0650104999076575
relu,64,0.01,27,0.3145294412327823,0.3278145294064686,842277822,22741501194,22.741501194,0.0574630000628531
relu,64,0.01,28,0.3141928349719264,0.3270101945695187,842277822,23583779016,23.583779016,0.10816439986228943
relu,64,0.01,29,0.31342022108382805,0.3257995143178078,842277822,24426056838,24.426056838,0.08828460006043315
relu,64,0.01,30,0.3122014293470683,0.32451309380552273,842277822,25268334660,25.26833466,0.06052910001017153
relu,64,0.01,31,0.3108450078617914,0.3234948670944191,842277822,26110612482,26.110612482,0.05707660014741123
relu,64,0.01,32,0.3097161223194518,0.32285482619239975,842277822,26952890304,26.952890304,0.061669399961829185
relu,64,0.01,33,0.3089305469285735,0.32240999183191876,842277822,27795168126,27.795168126,0.0639198999851942
relu,64,0.01,34,0.30829659450233243,0.3218642499335929,842277822,28637445948,28.637445948,0.05776579980738461
relu,64,0.01,35,0.3075463756190765,0.32108246975702287,842277822,29479723770,29.47972377,0.08703830000013113
relu,64,0.01,36,0.3065617190465943,0.3202686287395065,842277822,30322001592,30.322001592,0.11734800017438829
relu,64,0.01,37,0.3054737125682326,0.3196920236580029,842277822,31164279414,31.164279414,0.2936554001644254
relu,64,0.01,38,0.30457132457162656,0.3195099814381299,842277822,32006557236,32.006557236,0.07987260003574193
relu,64,0.01,39,0.30402306855593103,0.3195105966398105,842277822,32848835058,32.848835058,0.057050400180742145
relu,64,0.01,40,0.3036927518928838,0.3193401907568538,842277822,33691112880,33.69111288,0.05923029989935458
relu,64,0.01,41,0.30324929413349905,0.31887987570029397,842277822,34533390702,34.533390702,0.058138899970799685
relu,64,0.01,42,0.30258295858666695,0.3183756892072181,842277822,35375668524,35.375668524,0.06130109983496368
relu,64,0.01,43,0.30191498692310104,0.31808623331637187,842277822,36217946346,36.217946346,0.11161280004307628
relu,64,0.01,44,0.3014660693999207,0.31799089858778057,842277822,37060224168,37.060224168,0.0601413999684155
relu,64,0.01,45,0.30118522955524735,0.31782693802002876,842277822,37902501990,37.90250199,0.05915479990653694
relu,64,0.01,46,0.30082449624836344,0.31746645152433,842277822,38744779812,38.744779812,0.05723559996113181
relu,64,0.01,47,0.300253602778804,0.3170700222636446,842277822,39587057634,39.587057634,0.057960799895226955
relu,64,0.01,48,0.29964089296375945,0.3168210681641918,842277822,40429335456,40.429335456,0.05809019994921982
relu,64,0.01,49,0.29919900518614373,0.3166831149757176,842277822,41271613278,41.271613278,0.06366200000047684
relu,64,0.01,50,0.29889404287682114,0.3164821383953281,842277822,42113891100,42.1138911,0.11980320001021028
relu,64,0.01,51,0.2985248042231892,0.31619957399671,842277822,42956168922,42.956168922,0.06288639991544187
relu,64,0.01,52,0.2980612650462395,0.3159613843563447,842277822,43798446744,43.798446744,0.0665801998693496
relu,64,0.01,53,0.29765555349742534,0.3158367919301668,842277822,44640724566,44.640724566,0.49648159998469055
relu,64,0.01,54,0.29737161652776006,0.3157389066203964,842277822,45483002388,45.483002388,0.08369999984279275
relu,64,0.01,55,0.2971094796997381,0.3155640771354656,842277822,46325280210,46.32528021,0.07653349987231195
relu,64,0.01,56,0.2967653445646708,0.3153448537689846,842277822,47167558032,47.167558032,0.09549740003421903
relu,64,0.01,57,0.29638816607403756,0.31517912431906064,842277822,48009835854,48.009835854,0.1148292999714613
relu,64,0.01,58,0.296069421017913,0.3150774894684544,842277822,48852113676,48.852113676,0.06318689999170601
relu,64,0.01,59,0.29579479058539443,0.3149590917304838,842277822,49694391498,49.694391498,0.061562699964269996
relu,64,0.01,60,0.2954945612945408,0.31480902005545225,842277822,50536669320,50.53666932,0.056862999917939305
relu,64,0.01,61,0.2951512503593109,0.314700457928383,842277822,51378947142,51.378947142,0.06502510001882911
relu,64,0.01,62,0.2948323451362038,0.314649269953721,842277822,52221224964,52.221224964,0.0607721998821944
relu,64,0.01,63,0.2945635580154739,0.31460206859189327,842277822,53063502786,53.063502786,0.06072960002347827
relu,64,0.01,64,0.2943019474537392,0.3145256541366998,842277822,53905780608,53.905780608,0.059133100090548396
relu,64,0.01,65,0.29400234491454935,0.3144604712321594,842277822,54748058430,54.74805843,0.11403200007043779
relu,64,0.01,66,0.2937060331560616,0.31444713705225835,842277822,55590336252,55.590336252,0.33628130005672574
relu,64,0.01,67,0.29345117206396704,0.31445356229819077,842277822,56432614074,56.432614074,0.08673570002429187
relu,64,0.01,68,0.29320247964992296,0.31445095147186114,842277822,57274891896,57.274891896,0.061790999956429005
relu,64,0.01,69,0.29292975557204165,0.31446488887329405,842277822,58117169718,58.117169718,0.060993900056928396
relu,64,0.01,70,0.2926619141905628,0.3145090742780134,842277822,58959447540,58.95944754,0.05708459997549653
relu,64,0.01,71,0.29241412778932274,0.3145593888050289,842277822,59801725362,59.801725362,0.05981789994984865
relu,64,0.01,72,0.2921637318623474,0.3145933646323881,842277822,60644003184,60.644003184,0.11196159990504384
relu,64,0.01,73,0.2919002977823477,0.31462261890478366,842277822,61486281006,61.486281006,0.059481500182300806
relu,64,0.01,74,0.2916429247029124,0.31464970506619944,842277822,62328558828,62.328558828,0.05839399993419647
relu,64,0.01,75,0.29139471194380495,0.3146647383388854,842277822,63170836650,63.17083665,0.05825060000643134
relu,64,0.01,76,0.29113845959592666,0.31467213981529846,842277822,64013114472,64.013114472,0.056958300061523914
relu,64,0.01,77,0.29087315857888185,0.31467958808618085,842277822,64855392294,64.855392294,0.06158300000242889
relu,64,0.01,78,0.2906171820197803,0.3146912838770752,842277822,65697670116,65.697670116,0.060378000140190125
relu,64,0.01,79,0.2903620733974569,0.31469602201588365,842277822,66539947938,66.539947938,0.11031559994444251
relu,64,0.01,80,0.29009731242404985,0.31471145394887196,842277822,67382225760,67.38222576,0.06286140019074082
relu,64,0.01,81,0.28983664704089057,0.3147411216567871,842277822,68224503582,68.224503582,0.40239789988845587
relu,64,0.01,82,0.28958651106387834,0.3147681022438864,842277822,69066781404,69.066781404,0.06245089997537434
relu,64,0.01,83,0.2893322332603058,0.3147968206815472,842277822,69909059226,69.909059226,0.06300859991461039
relu,64,0.01,84,0.28907601236442554,0.31482933164829263,842277822,70751337048,70.751337048,0.058289799839258194
relu,64,0.01,85,0.28882266145265795,0.31486248509003595,842277822,71593614870,71.59361487,0.058654299937188625
relu,64,0.01,86,0.28856680370822285,0.3149014087740056,842277822,72435892692,72.435892692,0.11220570001751184
relu,64,0.01,87,0.28831163763655304,0.3149505889103357,842277822,73278170514,73.278170514,0.05951279983855784
relu,64,0.01,88,0.288064224837944,0.31500196820881354,842277822,74120448336,74.120448336,0.06007719994522631
relu,64,0.01,89,0.2878170483690065,0.31505052351746676,842277822,74962726158,74.962726158,0.057938999962061644
relu,64,0.01,90,0.2875642363371812,0.3151081027729298,842277822,75805003980,75.80500398,0.0590589998755604
relu,64,0.01,91,0.28731559776591636,0.3151792444986717,842277822,76647281802,76.647281802,0.05893779988400638
relu,64,0.01,92,0.28706873216612033,0.31525566133487687,842277822,77489559624,77.489559624,0.06142539996653795
relu,64,0.01,93,0.28682344310397745,0.31533490572244405,842277822,78331837446,78.331837446,0.059232900151982903
relu,64,0.01,94,0.2865801999222446,0.31540293728321794,842277822,79174115268,79.174115268,0.11930859996937215
relu,64,0.01,95,0.2863381084252786,0.3154648076575061,842277822,80016393090,80.01639309,0.41767389979213476
relu,64,0.01,96,0.28609521920022374,0.3155366002693522,842277822,80858670912,80.858670912,0.0658398000523448
relu,64,0.01,97,0.2858552115322349,0.3156189788977294,842277822,81700948734,81.700948734,0.060162599897012115
relu,64,0.01,98,0.28561620142967464,0.3157152691117114,842277822,82543226556,82.543226556,0.060472399927675724
relu,64,0.01,99,0.2853807363431239,0.31580785369546416,842277822,83385504378,83.385504378,0.05896400008350611
relu,64,0.01,100,0.2851428471299775,0.3159034627936187,842277822,84227782200,84.2277822,0.05723130004480481
gelu,64,0.01,1,0.776464258270158,0.5906944538682177,856865150,856865150,0.85686515,0.19066630001179874
gelu,64,0.01,2,0.5890820182872174,0.4961451883453584,856865150,1713730300,1.7137303,0.19733639992773533
gelu,64,0.01,3,0.4914602999595538,0.44859432251000075,856865150,2570595450,2.57059545,0.5876591000705957
gelu,64,0.01,4,0.4420918233135786,0.4215664640455557,856865150,3427460600,3.4274606,0.18889739993028343
gelu,64,0.01,5,0.41418688302638357,0.4016570335394457,856865150,4284325750,4.28432575,0.22051250003278255
gelu,64,0.01,6,0.3939181751757383,0.38509301903059695,856865150,5141190900,5.1411909,0.19012560020200908
gelu,64,0.01,7,0.377131314628799,0.37250394365676803,856865150,5998056050,5.99805605,0.264354299986735
gelu,64,0.01,8,0.3641820238751559,0.3649360888312612,856865150,6854921200,6.8549212,0.4819460001308471
gelu,64,0.01,9,0.35601374544447884,0.3620325098696036,856865150,7711786350,7.71178635,0.18975790007971227
gelu,64,0.01,10,0.3523226677115734,0.36194840666094,856865150,8568651500,8.5686515,0.19085650006309152
gelu,64,0.01,11,0.35139815221536225,0.36220811286553634,856865150,9425516650,9.42551665,0.19020750001072884
gelu,64,0.01,12,0.35091221608220763,0.36089260009964064,856865150,10282381800,10.2823818,0.19384279986843467
gelu,64,0.01,13,0.3490439572953203,0.35741408856696555,856865150,11139246950,11.13924695,0.18926559993997216
gelu,64,0.01,14,0.3452219179141387,0.3524263525404232,856865150,11996112100,11.9961121,0.28936830000020564
gelu,64,0.01,15,0.3400480723243165,0.34716797873877464,856865150,12852977250,12.85297725,0.1925036001484841
gelu,64,0.01,16,0.3346786088211109,0.34276817197996723,856865150,13709842400,13.7098424,0.20617200015112758
gelu,64,0.01,17,0.33016825023282187,0.3398072188275425,856865150,14566707550,14.56670755,0.18865230004303157
gelu,64,0.01,18,0.3270592307598288,0.33820930908805463,856865150,15423572700,15.4235727,0.18929199990816414
gelu,64,0.01,19,0.32528434459376604,0.33743371616545986,856865150,16280437850,16.28043785,0.18743209983222187
gelu,64,0.01,20,0.32434398203297776,0.33683389276892495,856865150,17137303000,17.137303,0.374100900022313
gelu,64,0.01,21,0.3236362873767547,0.3359845212259624,856865150,17994168150,17.99416815,0.19225129997357726
gelu,64,0.01,22,0.3227613350474098,0.3348115506190677,856865150,18851033300,18.8510333,0.24614230007864535
gelu,64,0.01,23,0.3216449362828338,0.33349766463718084,856865150,19707898450,19.70789845,0.19072329998016357
gelu,64,0.01,24,0.3204506550561253,0.3322692955294388,856865150,20564763600,20.5647636,0.1897996999323368
gelu,64,0.01,25,0.31937730135028836,0.3312160186225696,856865150,21421628750,21.42162875,0.1998803000897169
gelu,64,0.01,26,0.31848680608921776,0.3302483393479322,856865150,22278493900,22.2784939,0.41855139983817935
gelu,64,0.01,27,0.31766669014465326,0.3291976993438986,856865150,23135359050,23.13535905,0.1974472999572754
gelu,64,0.01,28,0.3167315498847945,0.3279634116379422,856865150,23992224200,23.9922242,0.18970320001244545
gelu,64,0.01,29,0.3155696765526974,0.32659566833127524,856865150,24849089350,24.84908935,0.3063980999868363
gelu,64,0.01,30,0.31422496654512055,0.32527107887979456,856865150,25705954500,25.7059545,0.20315960003063083
gelu,64,0.01,31,0.31287105225342626,0.3241925587155144,856865150,26562819650,26.56281965,0.20466659986414015
gelu,64,0.01,32,0.31170987713028453,0.32347956080739415,856865150,27419684800,27.4196848,0.19831749983131886
gelu,64,0.01,33,0.31086121191842786,0.32310893872187557,856865150,28276549950,28.27654995,0.19372099987231195
gelu,64,0.01,34,0.3103036992038071,0.3229367944290741,856865150,29133415100,29.1334151,0.19314450002275407
gelu,64,0.01,35,0.3098975677317006,0.32278698553162766,856865150,29990280250,29.99028025,0.22616739990189672
gelu,64,0.01,36,0.3094740036389172,0.3225486282283637,856865150,30847145400,30.8471454,0.24631979991681874
gelu,64,0.01,37,0.30893278177991745,0.3222174650363559,856865150,31704010550,31.70401055,0.4386207000352442
gelu,64,0.01,38,0.3082827914051717,0.32186028356840046,856865150,32560875700,32.5608757,0.20409350004047155
gelu,64,0.01,39,0.30760491779791665,0.3215394683054838,856865150,33417740850,33.41774085,0.19105420005507767
gelu,64,0.01,40,0.30697469320860665,0.32125825287113524,856865150,34274606000,34.274606,0.23394880001433194
